,FCode,median_improve,mean_improve,count
0,39000,-0.006717681884765625,-0.03620170983986825,11
1,39001,-0.3080308697393783,0.10867332140611552,15
2,39004,-0.017640101743795378,-0.02204649334393814,2068
3,39005,0.8069992065429688,0.8069992065429688,2
4,39006,0.7725925601189931,0.5909658220207814,8
5,39009,-0.04558716831843068,-0.06792578717470044,726
6,39010,0.05334281921386719,-0.02750869973289425,34
7,39011,0.26143667287134176,0.3863268407518956,19
8,39012,0.6302516857401534,0.3046141652760317,9
9,43600,-0.03864415748668115,-0.10350005646013537,68
10,43604,2.6096060191383783,2.6096060191383783,1
11,43605,1.008687973022461,1.008687973022461,1
12,43613,0.03360245861397426,0.33207284825955896,6
13,43615,0.3150945062262026,0.16084866262559475,6
14,43617,-0.14708286239190516,0.01341022811340172,6
15,43618,-0.020542334164663778,-0.020542334164663778,1
16,43619,0.562067516270518,0.562067516270518,2
